species,area,M_method,data_input,data_input_values,M_estimate,references
big skate,BC,jensen_k1.v5,VBGF k (cm-1),0.040,0.060,McFarlane et al. 2010
big skate,BC,jensen_k2.v1,VBGF k (cm-1),0.040,0.064,Gburski 2007
big skate,BC,jensen_k2.v2,VBGF k (cm-1),0.020,0.032,"King 2010, GROTAG"
big skate,BC,jensen_k2.v3,VBGF k (cm-1),0.060,0.096,"King 2010, Fabens"
big skate,BC,jensen_k2.v4,VBGF k (cm-1),0.040,0.064,McFarlane et al. 2006
big skate,BC,jensen_k2.v5,VBGF k (cm-1),0.040,0.064,McFarlane et al. 2010
big skate,BC,frisk_k.v1,VBGF k (cm-1),0.040,0.113,Gburski 2007
big skate,BC,frisk_k.v2,VBGF k (cm-1),0.020,0.084,"King 2010, GROTAG"
big skate,BC,frisk_k.v3,VBGF k (cm-1),0.060,0.134,"King 2010, Fabens"
big skate,BC,frisk_k.v4,VBGF k (cm-1),0.040,0.113,McFarlane et al. 2006
big skate,BC,frisk_k.v5,VBGF k (cm-1),0.040,0.113,McFarlane et al. 2010
big skate,GOA,hamel_k.v1,VBGF k (cm-1),0.080,0.140,Gburski 2007
big skate,GOA,jensen_k1.v1,VBGF k (cm-1),0.080,0.119,Gburski 2007
big skate,GOA,jensen_k2.v1,VBGF k (cm-1),0.080,0.127,Gburski 2007
big skate,GOA,frisk_k.v1,VBGF k (cm-1),0.080,0.151,Gburski 2007
commander skate,BS,hamel_k.v1,VBGF k (cm-1),0.042,0.073,"Maurer 2009, gross"
